SEASONS,WINNERS_NATION,WINNERS_TEAM,SCORE,RUNNERS_UP_NATION,RUNNERS_UP_TEAM,VENUE,ATTENDANCE
1955–56,ESP,Real Madrid,4–3,FRA,Reims,"Parc des Princes, Paris, France","38,239"
1956–57,ESP,Real Madrid,2–0,ITA,Fiorentina,"Santiago Bernabéu, Madrid, Spain","124,000"
1957–58,ESP,Real Madrid,3–2,ITA,Milan,"Heysel Stadium, Brussels, Belgium","67,000"
1958–59,ESP,Real Madrid,2–0,FRA,Reims,"Neckarstadion, Stuttgart, West Germany","72,000"
1959–60,ESP,Real Madrid,7–3,GER,Eintracht Frankfurt,"Hampden Park, Glasgow, Scotland","127,621"
1960–61,POR,Benfica,3–2,ESP,Barcelona,"Wankdorf Stadium, Bern, Switzerland","26,732"
1961–62,POR,Benfica,5–3,ESP,Real Madrid,"Olympisch Stadion, Amsterdam, Netherlands","61,257"
1962–63,ITA,Milan,2–1,POR,Benfica,"Wembley Stadium, London, England","45,715"
1963–64,ITA,Inter Milan,3–1,ESP,Real Madrid,"Praterstadion, Vienna, Austria","71,333"
1964–65,ITA,Inter Milan,1–0,POR,Benfica,"San Siro, Milan, Italy","89,000"
1965–66,ESP,Real Madrid,2–1,YUG,Partizan,"Heysel Stadium, Brussels, Belgium","46,745"
1966–67,SCO,Celtic,2–1,ITA,Inter Milan,"Estádio Nacional, Lisbon, Portugal","45,000"
1967–68,ENG,Manchester United,4–1,POR,Benfica,"Wembley Stadium, London, England","92,225"
1968–69,ITA,Milan,4–1,NED,Ajax,"Santiago Bernabéu, Madrid, Spain","31,782"
1969–70,NED,Feyenoord,2–1,SCO,Celtic,"San Siro, Milan, Italy","53,187"
1970–71,NED,Ajax,2–0,GRE,Panathinaikos,"Wembley Stadium, London, England","83,179"
1971–72,NED,Ajax,2–0,ITA,Inter Milan,"De Kuip, Rotterdam, Netherlands","61,354"
1972–73,NED,Ajax,1–0,ITA,Juventus,"Red Star Stadium, Belgrade, SFR Yugoslavia","89,484"
1973–74,GER,Bayern Munich,1–1,ESP,Atlético Madrid,"Heysel Stadium, Brussels, Belgium","48,722"
1973–74,GER,Bayern Munich,4–0,ESP,Atlético Madrid,"Heysel Stadium, Brussels, Belgium","23,325"
1974–75,GER,Bayern Munich,2–0,ENG,Leeds United,"Parc des Princes, Paris, France","48,374"
1975–76,GER,Bayern Munich,1–0,FRA,Saint-Étienne,"Hampden Park, Glasgow, Scotland","54,864"
1976–77,ENG,Liverpool,3–1,GER,Borussia Mönchengladbach,"Stadio Olimpico, Rome, Italy","57,000"
1977–78,ENG,Liverpool,1–0,BEL,Club Brugge,"Wembley Stadium, London, England","92,500"
1978–79,ENG,Nottingham Forest,1–0,SWE,Malmö FF,"Olympiastadion, Munich, West Germany","57,500"
1979–80,ENG,Nottingham Forest,1–0,GER,Hamburger SV,"Santiago Bernabéu, Madrid, Spain","51,000"
1980–81,ENG,Liverpool,1–0,ESP,Real Madrid,"Parc des Princes, Paris, France","48,360"
1981–82,ENG,Aston Villa,1–0,GER,Bayern Munich,"De Kuip, Rotterdam, Netherlands","46,000"
1982–83,GER,Hamburger SV,1–0,ITA,Juventus,"Olympic Stadium, Athens, Greece","73,500"
1983–84,ENG,Liverpool,1–1*,ITA,Roma,"Stadio Olimpico, Rome, Italy","69,693"
1984–85,ITA,Juventus,1–0,ENG,Liverpool,"Heysel Stadium, Brussels, Belgium","58,000"
1985–86,ROU,Steaua București,0–0*,ESP,Barcelona,"Ramón Sánchez Pizjuán, Seville, Spain","70,000"
1986–87,POR,Porto,2–1,GER,Bayern Munich,"Praterstadion, Vienna, Austria","57,500"
1987–88,NED,PSV Eindhoven,0–0*,POR,Benfica,"Neckarstadion, Stuttgart, West Germany","68,000"
1988–89,ITA,Milan,4–0,ROU,Steaua București,"Camp Nou, Barcelona, Spain","97,000"
1989–90,ITA,Milan,1–0,POR,Benfica,"Praterstadion, Vienna, Austria","57,558"
1990–91,YUG,Red Star Belgrade,0–0*,FRA,Marseille,"Stadio San Nicola, Bari, Italy","56,000"
1991–92,ESP,Barcelona,1–0,ITA,Sampdoria,"Wembley Stadium, London, England","70,827"
1992–93,FRA,Marseille,1–0,ITA,Milan,"Olympiastadion, Munich, Germany","64,400"
1993–94,ITA,Milan,4–0,ESP,Barcelona,"Olympic Stadium, Athens, Greece","70,000"
1994–95,NED,Ajax,1–0,ITA,Milan,"Ernst-Happel-Stadion, Vienna, Austria","49,730"
1995–96,ITA,Juventus,1–1*,NED,Ajax,"Stadio Olimpico, Rome, Italy","70,000"
1996–97,GER,Borussia Dortmund,3–1,ITA,Juventus,"Olympiastadion, Munich, Germany","59,000"
1997–98,ESP,Real Madrid,1–0,ITA,Juventus,"Amsterdam Arena, Amsterdam, Netherlands","48,500"
1998–99,ENG,Manchester United,2–1,GER,Bayern Munich,"Camp Nou, Barcelona, Spain","90,245"
1999–2000,ESP,Real Madrid,3–0,ESP,Valencia,"Stade de France, Saint-Denis, France","80,000"
2000–01,GER,Bayern Munich,1–1*,ESP,Valencia,"San Siro, Milan, Italy","71,500"
2001–02,ESP,Real Madrid,2–1,GER,Bayer Leverkusen,"Hampden Park, Glasgow, Scotland","50,499"
2002–03,ITA,Milan,0–0*,ITA,Juventus,"Old Trafford, Manchester, England","62,315"
2003–04,POR,Porto,3–0,FRA,Monaco,"Arena AufSchalke, Gelsenkirchen, Germany","53,053"
2004–05,ENG,Liverpool,3–3*,ITA,Milan,"Atatürk Olympic Stadium, Istanbul, Turkey","69,000"
2005–06,ESP,Barcelona,2–1,ENG,Arsenal,"Stade de France, Saint-Denis, France","79,610"
2006–07,ITA,Milan,2–1,ENG,Liverpool,"Olympic Stadium, Athens, Greece","63,000"
2007–08,ENG,Manchester United,1–1*,ENG,Chelsea,"Luzhniki Stadium, Moscow, Russia","67,310"
2008–09,ESP,Barcelona,2–0,ENG,Manchester United,"Stadio Olimpico, Rome, Italy","62,467"
2009–10,ITA,Inter Milan,2–0,GER,Bayern Munich,"Santiago Bernabéu, Madrid, Spain","73,490"
2010–11,ESP,Barcelona,3–1,ENG,Manchester United,"Wembley Stadium, London, England","87,695"
2011–12,ENG,Chelsea,1–1*,GER,Bayern Munich,"Allianz Arena, Munich, Germany","62,500"
2012–13,GER,Bayern Munich,2–1,GER,Borussia Dortmund,"Wembley Stadium, London, England","86,298"
2013–14,ESP,Real Madrid,4–1,ESP,Atlético Madrid,"Estádio da Luz, Lisbon, Portugal","60,976"
2014–15,ESP,Barcelona,3–1,ITA,Juventus,"Olympiastadion, Berlin, Germany","70,442"
2015–16,ESP,Real Madrid,1–1*,ESP,Atlético Madrid,"San Siro, Milan, Italy","71,942"
2016–17,ESP,Real Madrid,4–1,ITA,Juventus,"Millennium Stadium, Cardiff, Wales","65,842"
2017–18,ESP,Real Madrid,3–1,ENG,Liverpool,"NSC Olimpiyskiy Stadium, Kyiv, Ukraine","61,561"
2018–19,ENG,Liverpool,2–0,ENG,Tottenham Hotspur,"Metropolitano Stadium, Madrid, Spain","63,272"
2019–20,GER,Bayern Munich,1–0,FRA,Paris Saint-Germain,"Estádio da Luz, Lisbon, Portugal",0
2020–21,ENG,Chelsea,1–0,ENG,Manchester City,"Estádio do Dragão, Porto, Portugal","14,110"
2021–22,ESP,Real Madrid,1–0,ENG,Liverpool,"Stade de France, Saint-Denis, France","75,000"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
